time_days,temp,replicate,virus
0,24,1,6310
2,24,1,14962
4,24,1,354813
6,24,1,84139514
8,24,1,266072506
10,24,1,199526231
12,24,1,266072506
0,24,2,11220
2,24,2,4732
4,24,2,841395
6,24,2,63095734
8,24,2,473151259
10,24,2,473151259
12,24,2,149623566
0,24,3,8414
2,24,3,8414
4,24,3,2660725
6,24,3,47315126
8,24,3,354813389
10,24,3,473151259
12,24,3,266072506
0,26,1,4732
2,26,1,149624
4,26,1,19952623
6,26,1,841395142
8,26,1,841395142
10,26,1,354813389
12,26,1,630957344
0,26,2,11220
2,26,2,354813
4,26,2,26607251
6,26,2,841395142
8,26,2,630957344
10,26,2,630957344
12,26,2,199526231
0,26,3,11220
2,26,3,84140
4,26,3,19952623
6,26,3,199526231
8,26,3,354813389
10,26,3,199526231
12,26,3,354813389